"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2012","1,720.20","1,773.70","1,798.10","1,698.70","2.75M","-3.03%"
"09/01/2012","1,773.90","1,702.20","1,787.50","1,692.60","342.55K","5.19%"
"08/01/2012","1,686.40","1,615.80","1,688.80","1,584.20","211.66K","4.59%"
"07/01/2012","1,612.40","1,591.60","1,629.30","1,557.80","19.88K","0.44%"
"06/01/2012","1,605.30","1,561.80","1,642.40","1,545.50","2.94M","2.63%"
"05/01/2012","1,564.20","1,658.00","1,658.00","1,528.20","456.96K","-6.07%"
"04/01/2012","1,665.30","1,671.50","1,685.40","1,613.00","2.37M","-0.39%"
"03/01/2012","1,671.90","1,701.00","1,725.00","1,628.80","282.59K","-2.38%"
"02/01/2012","1,712.60","1,739.80","1,789.50","1,695.10","2.61M","-1.60%"
"01/01/2012","1,740.40","1,574.40","1,750.60","1,574.40","300.14K","10.99%"
"12/01/2011","1,568.00","1,752.50","1,767.10","1,550.90","2.46M","-10.42%"
"11/01/2011","1,750.30","1,724.80","1,804.00","1,670.60","349.60K","1.40%"
"10/01/2011","1,726.20","1,625.10","1,765.00","1,596.60","2.64M","6.40%"
"09/01/2011","1,622.30","1,877.30","1,915.50","1,540.00","350.54K","-11.36%"
"08/01/2011","1,830.30","1,620.60","1,915.00","1,608.10","358.12K","12.30%"
"07/01/2011","1,629.90","1,499.40","1,636.30","1,482.30","48.10K","8.42%"
"06/01/2011","1,503.30","1,536.60","1,559.30","1,490.80","2.62M","-2.18%"
"05/01/2011","1,536.80","1,570.50","1,575.90","1,464.90","259.76K","-1.30%"
"04/01/2011","1,557.00","1,433.80","1,565.40","1,413.50","2.57M","8.13%"
"03/01/2011","1,439.90","1,415.50","1,448.50","1,384.90","298.53K","2.08%"
"02/01/2011","1,410.60","1,334.00","1,418.80","1,325.30","2.29M","5.70%"
"01/01/2011","1,334.50","1,416.50","1,423.80","1,309.10","424.08K","-6.19%"
"12/01/2010","1,422.50","1,387.70","1,432.50","1,361.60","2.52M","2.63%"
"11/01/2010","1,386.10","1,359.30","1,425.00","1,327.00","359.87K","2.02%"
"10/01/2010","1,358.70","1,309.60","1,388.10","1,307.30","3.11M","3.75%"
"09/01/2010","1,309.60","1,247.90","1,317.50","1,242.00","298.92K","4.80%"
"08/01/2010","1,249.60","1,182.80","1,244.50","1,175.40","148.99K","5.68%"
"07/01/2010","1,182.40","1,200.00","1,218.20","1,156.40","28.37K","-5.17%"
"06/01/2010","1,246.90","1,216.70","1,266.50","1,198.10","2.40M","2.63%"
"05/01/2010","1,215.00","1,182.00","1,249.10","1,158.50","241.45K","2.84%"
"04/01/2010","1,181.40","1,114.60","1,181.90","1,112.30","2.46M","6.00%"
"03/01/2010","1,114.50","1,118.60","1,145.80","1,086.10","225.33K","-0.45%"
"02/01/2010","1,119.50","1,081.90","1,131.50","1,044.50","3.03M","3.29%"
"01/01/2010","1,083.80","1,095.00","1,162.50","1,074.40","404.24K","-1.19%"
"12/01/2009","1,096.90","1,181.40","1,227.50","1,075.20","3.62M","-7.22%"
"11/01/2009","1,182.30","1,092.90","1,196.80","1,087.80","454.22K","13.58%"
"10/01/2009","1,040.90","1,008.30","1,072.00","987.00","2.76M","3.13%"
"09/01/2009","1,009.30","950.60","1,020.90","950.50","248.99K","5.93%"
"08/01/2009","952.80","954.80","972.70","930.20","94.56K","-0.18%"
"07/01/2009","954.50","933.80","959.30","905.80","21.89K","2.84%"
"06/01/2009","928.10","981.00","992.10","913.20","1.93M","-5.32%"
"05/01/2009","980.30","888.60","982.00","886.30","228.30K","9.90%"
"04/01/2009","892.00","920.00","935.80","865.00","1.50M","-3.57%"
"03/01/2009","925.00","902.00","966.80","884.70","210.76K","-1.96%"
